username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
cityofhamilton,"Official City of Hamilton communications account. For service requests, contact 905-546-CITY or askcity@hamilton.ca. Account monitored Mon-Fri, 8:30a-4:30p.","Hamilton, Ontario, Canada",61,82006,26252,2009-06-04 19:42:19,2020-11-13 16:11:04,1,"Limiting close contacts is vital. Should you be infected with COVID-19, the fewer close contacts you have, the easier contact tracing is. Limiting close contacts contains the spread of COVID-19 in our community. #HamOnt https://t.co/OYSrFl8Oce","[{'text': 'HamOnt', 'indices': [212, 219]}]"
punkmaeve,Old but still waiting to grow up.,"Toronto, Ontario",722,201,9452,2013-04-29 14:57:17,2020-11-13 16:11:04,71,"It’s worse because @fordnation didn’t want to face the truth. Protecting business is important but keeping people alive is more important. 

Ontario’s COVID-19 trajectory is much worse than anyone expected https://t.co/ndwFrPks08 via @torontostar",[]
latimes,Bringing L.A. to the world and the world to L.A. Subscribe now: https://t.co/KW9cHofnW4,"El Segundo, CA",6982,3748206,317590,2008-10-09 11:07:42,2020-11-13 16:11:04,3,"How to safely stay at a hotel, motel or Holiday Inn https://t.co/GFP6OFFUGO",[]
NCSC,We are the National Cyber Security Centre. Helping to make the UK the safest place to live and work online,"London, England",335,86699,10610,2015-11-17 13:55:39,2020-11-13 16:11:04,4,In this week's Threat Report: COVID-19 driving a cyber security focus for UK business https://t.co/Ye7wPwdjAu https://t.co/WWWykWomeI,[]
AdrianaCardMag,Covering Chicago students and local schools (private & public) @wbezeducation E-mail me: acardona@wbez.org,Chicago,930,1910,1690,2009-06-30 16:46:39,2020-11-13 16:11:04,2,"With COVID-19 cases surging here, health officials in some counties are recommending schools go all remote. But some suburban schools, facing pressure from parents, are still choosing to teach in person. @soosieon reports. https://t.co/mIRWElrLdQ",[]
nr4fqhn,🖤💗,,220,261,2874,2019-11-28 23:47:40,2020-11-13 16:11:04,324,"Mohamed Salah has tested positive for Covid-19, the Egyptian FA has announced.

Get well soon, @MoSalah 🙏 https://t.co/gHZdqk5Lwj",[]
NoahbodysArt,Noah ☆ 22 ☆ he/him ☆ gay polyam ☆ slow at drawing 😔 ☆ Peruvian/Italian ☆ first gen American ☆ BLM ☆ Abolish ICE ☆ header @rubberskunktoo,"Westminster, CA",619,344,36872,2013-05-10 03:02:42,2020-11-13 16:11:03,620,"Hey fam, I was nervous to do this, but I decided to make a gofundme. I'm Black, Trans, disabled, high risk, and have covid 19. If you could please boost my survival fund, I'd really appreciate it!
https://t.co/jzuqUTCVKe",[]
devonpeacock_,There's a @TheSimpsons character named after me thanks to @mrtimlong.,"London, Ontario",602,2334,28250,2009-08-03 16:56:02,2020-11-13 16:11:03,53,"Action needs to be taken immediately to preserve any chance Canadians will be able to gather over the holidays, Trudeau says. 

https://t.co/GPwyPWa9GH",[]
Malik__73,,,4980,3022,160910,2009-05-16 23:58:48,2020-11-13 16:11:03,1093,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
Snr_Cweiku,Manchester united is the team ⚽,"Manchester, England",11949,15767,60941,2011-10-08 15:01:15,2020-11-13 16:11:03,55,Catfish holder dier Mohamed Salah tested positive for Covid 19 fa woho b3n 😒😒 mind your business,[]
elenanunzio,,,367,337,36440,2011-02-03 23:24:05,2020-11-13 16:11:03,15,"#China authorities find #COVID19 on packaging of Brazilian beef

#Wuhan

https://t.co/xZEZbQXjHz https://t.co/3HTWK1ybr3","[{'text': 'China', 'indices': [12, 18]}, {'text': 'COVID19', 'indices': [36, 44]}, {'text': 'Wuhan', 'indices': [77, 83]}]"
SchonkerenJ,"😇🤣😂😉😜🤪Love from Belgium ( Zolder) -  NOT for Trump, Bolsonaro, Erdogan, Duterte, Orban and other criminals......like Putin, Johnson, Farage....🌊🌊🌊🌊🌊",Belgium  ,4962,2872,13995,2011-07-28 12:07:33,2020-11-13 16:11:03,2109,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
TheTop10News2,"TheTop10News - world news aggregator from the most famous world media.
All world news in one place. 
Join to us.",,0,150,234129,2020-01-05 11:11:51,2020-11-13 16:11:03,0,"British serial killer Peter Sutcliffe dead after positive COVID-19 test
Source: CBC News
https://t.co/HPP28tQeNe",[]
themodestokid,"All I wanna do is fall in love, while there's still time.","South Orange, NJ",349,155,4563,2009-02-19 12:04:08,2020-11-13 16:11:03,54,“80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime” https://t.co/zA7glvxpDg,[]
GS__User,,,4770,653,63878,2013-09-19 20:56:19,2020-11-13 16:11:03,3782,"80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime, a new report finds  https://t.co/EjLpTPPQ4E",[]
SmythJimmy,Don't believe anything your government tells you,"belfast, ulster",437,267,12227,2013-04-20 22:16:22,2020-11-13 16:11:03,56,"Covid-19 vaccination may be mandatory for all visitors to Australia...

From 2021, overseas travelers might have to produce a vaccination certificate before boarding their flight to Australia... https://t.co/rgBq1zXTfe",[]
ericv101,,United States,920,173,15987,2009-03-20 17:29:29,2020-11-13 16:11:03,0,@meridithmcgraw @costareports Yes!  Take him to GA to spread #COVID amongst the @GOP,"[{'text': 'COVID', 'indices': [61, 67]}]"
Cyberprime2,Forever hot headed 👳‍♂️,"Sunyani,Ghana",7958,10098,38348,2018-05-28 19:05:40,2020-11-13 16:11:03,55,Catfish holder dier Mohamed Salah tested positive for Covid 19 fa woho b3n 😒😒 mind your business,[]
StaffCorbett,Realtor Associate at Christies International Real Estate NNJ,,18,10,306,2019-01-14 02:38:43,2020-11-13 16:11:03,0,"In the face of challenges caused by COVID-19, live performers are finding innovative new ways to connect with their audience. Learn how Socially Distanced Concerts are Securing Live Entertainment's Future. https://t.co/mGoXm4C6ip https://t.co/IUkNKeHhLj",[]
sipofSTARRshine,"Like Ringo and Karen, minus the drum skills and heat vision. [she/her]","New York, NY",577,337,20955,2008-06-05 00:05:07,2020-11-13 16:11:02,219,"1/ True story of two personal friends- let's call them Jim &amp; Bob- &amp; #covid19. I share this not to shame but to say-- this is likely happening more than we are acknowledging because there is stigma associated with having #covid19 in many social circles. 

Short thread","[{'text': 'covid19', 'indices': [93, 101]}]"
isamoscardini,nothing safe is worth the drive.,mg,317,385,7948,2015-06-08 14:21:11,2020-11-13 16:11:02,37,"Sweden reports record 5,990 new COVID-19 cases as second wave strikes https://t.co/0eiWGLyw2E https://t.co/ij960ywrih",[]
GeorgieRayner1,"Strong woman who loves nature, Big cats, travel, & football. I Love to laugh a lot! Good Moral Compass! I ""Get"" the Stock Market! 🐹⛵️🇺🇸🏕️✈️🛫","San Rafael, California",1325,654,33443,2013-05-20 15:44:10,2020-11-13 16:11:02,2109,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
DrDataScientist,"#Technology & #Business #Consultant (#techpreneur), #Dad, #Entrepreneur, #STEM, #Philanthropist, #CancerSurvivor + #BigData #SME https://t.co/Pip0u8gh5G","Houston, TX",1438,99569,86714,2009-04-30 21:09:43,2020-11-13 16:11:02,1,Covid-19: How retailers are using technology to respond to changing shopping habits https://t.co/zm8tifYZ4u #Technology #Tech #FutureTech,"[{'text': 'Technology', 'indices': [127, 138]}]"
kathlee82495761,#KAG,,211,212,9732,2019-08-01 19:33:50,2020-11-13 16:11:02,2,"@MINationalGuard  Soldiers fill boxes with food at a food bank in Warren, Michigan, where they have packed approximately 1,600 lbs. of food daily as part of COVID-19 response efforts. The food bank serves 400 agencies and has seen increased need as COVID-19 cases have risen. https://t.co/hOQ5UtVtp2",[]
johntdowney,"Software developer, progressive clinical sufferer of chronic Trump Derangement Syndrome","Rozet, Wyoming",58,3,349,2008-04-28 20:56:20,2020-11-13 16:11:02,401,BREAKING—Over 130 Secret Service officers who help protect the Trump WH have recently been ordered to isolate or quarantine because they tested positive for #COVID19 or had close contact with infected co-workers. The Trump superspreading events had a toll. https://t.co/aXQU7H7CfW,[]
camaro7275,ल्न्छ्प्पन नजान्ने  गुरुङको एक सोझो केटो ।,INDORE,32,3,2880,2015-08-03 03:06:55,2020-11-13 16:11:02,0,"Rand Paul says COVID-19 survivors should 'throw away their masks, go to restaurants, live again' https://t.co/mFgYQQGStf",[]
Kathlee12624110,"Living in this tRumpian nightmare. Longtime environmentalist, love dogs, studied art. I don’t follow people who only retweet, #PresidentElectJoeBiden",Planet earth,577,146,9940,2017-02-08 06:11:29,2020-11-13 16:11:02,2109,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
NSAI_Standards,"National Standards Authority of Ireland. 
#Standards, #Certification & #Metrology.","HQ - Santry, Dublin 9 Ireland",3377,4591,4696,2014-11-04 16:57:24,2020-11-13 16:11:02,2,"The #COVID19 Retail Protection and Improvement Guide from @NSAI_Standards provides practical guidance on managing business continuity through the pandemic.

This includes guidance on click and collect services.

Find out more at https://t.co/5hOyNBU7ta https://t.co/lWdKOZhltI","[{'text': 'COVID19', 'indices': [24, 32]}]"
BlkDirectAction,"Full service Black direct action collective. Liberation lab. Black-led protest, apply for our ACTION FUND 🌱 @landliberation",,567,14708,8484,2014-11-28 17:34:19,2020-11-13 16:11:02,237,Mutual aid is how we will survive and overcome the pandemics of COVID-19 and capitalism.,[]
kelysuperficial,pop culture snide superificial,at sephora,1065,976,60879,2009-07-23 17:22:14,2020-11-13 16:11:02,2110,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
MontcoCourtNews,"Journalist covering crime & justice for MediaNews Group, Philadelphia area/Montgomery County Court. National Headliner Award winner. Enjoys compelling stories.","Philly suburbs & Wash., DC",2366,4349,58378,2011-06-17 19:10:57,2020-11-13 16:11:02,1,"The overall 14-day #COVID19 positivity rate for #MontcoPa, as of Nov. 7, was 5.45% which was an increase from the 4.39% positivity rate for the 14-day period ending Oct. 30. 
Health officials believe a positivity rate less than 5% indicates a county is controlling viral spread...","[{'text': 'COVID19', 'indices': [19, 27]}, {'text': 'MontcoPa', 'indices': [48, 57]}]"
burton6361,"Army vet, environment/ecosystems biodiversity, SCI-FI/Fantasy, history/art, music, gardening #waterislife #vetsresist FBR",,5001,3318,72405,2011-12-21 12:48:36,2020-11-13 16:11:02,5447,"JUST IN: The ship's captain announces 5 people have tested positive for #COVID19 on SeaDream 1, the first cruise ship to embark on a voyage in the Caribbean since the #coronavirus shut down the cruise industry.","[{'text': 'COVID19', 'indices': [88, 96]}]"
JJKrawczyk,Born in Motown/Hockeytown/Dee-troit. Spartan. Now on east coast. He/him/his. #BlackLivesMatter ! #MaskUpMassholes Weather tweets: @LexMAWeather,"Massachusetts, USA",153,189,38703,2012-07-02 16:53:44,2020-11-13 16:11:02,244,"Pandemic completely out of control in Wisconsin. Contract tracing now impossible according to DHS. 

“COVID-19 is so bad in Wisconsin, DHS needed a whole new category” 

https://t.co/2eVx1OUwAN",[]
DTNEtiquette,"Teaching soft skills to help make people strong, because life is too short to not know what to do! #speaker #keynote #MiniManners #DTN",netizen & global citizen,14928,25554,172766,2008-09-23 17:42:14,2020-11-13 16:11:02,0,"Stay safe, social distance, wear a mask, and trust the medical professionals, the scientists, and your mother! After the rain, comes the rainbow! ~ #DTN #COVID19 #maskrespect https://t.co/S7VL40bOoV","[{'text': 'DTN', 'indices': [148, 152]}, {'text': 'COVID19', 'indices': [153, 161]}, {'text': 'maskrespect', 'indices': [162, 174]}]"
ConsulMexOxn,Consulado de Carrera de México en Oxnard,"California, Estados Unidos",436,3011,29164,2010-05-13 18:20:03,2020-11-13 16:11:01,2,"📌On November 17th, Ambassador @Martha_Barcena will participate in a panel on ‘global migration in the age of #COVID19’ at the @NatlmmForum’s “Leading the Way” virtual forum. 

More ℹ️ here to join: 

⏰ 3 pm (Washington, D.C.).

🖥 Register: https://t.co/W46w6HetIO 

#LTW2020 https://t.co/qEn8ZLDa6U","[{'text': 'COVID19', 'indices': [125, 133]}]"
BethShadday,"Proud Member of #NastyWoman💪💪
VOTE HIM OUT🌊🌊💙💙💙","Indiana, USA",1505,882,161223,2016-11-09 23:45:10,2020-11-13 16:11:01,29,Remember when Trump said we'd stop talking about Covid-19 after the election?,[]
cloudydays1971,Just someone in healthcare that cares way too much,"Denver, CO and Houston, TX",5001,812,266795,2013-11-17 03:39:02,2020-11-13 16:11:01,1,"Basically people are having gatherings in the house (game nights, NFL game watching, etc)... #COVID https://t.co/abyhMMRXM5","[{'text': 'COVID', 'indices': [109, 115]}]"
Reporterroblang,Reporter and Anchor at WBAL NewsRadio 1090 & FM 101.5 Lead anchor of WBAL News Now at 6p. President Chesapeake AP Broadcasters RT not endorsements.,"Baltimore, MD",3950,8749,106733,2009-08-20 14:10:32,2020-11-13 16:11:01,1,"Biggest headline of the @MDHealthDept #COVID19 numbers, state's daily gain in cases 1,869, is the highest on record surpassing 1,784 on May 19  https://t.co/MBvaBjYxKO","[{'text': 'COVID19', 'indices': [38, 46]}]"
TomCoomes,"Chief Meteorologist @ABC57News - Weather, Travel, Craft Beer, Good Food & Gardening. If I'm not doing that I'm on my bike. #Boilermaker","South Bend,IN",1737,3545,45600,2009-05-02 18:55:12,2020-11-13 16:11:01,2,"THIS 👇🏻

“ [A] hospital somewhere in the region that will eventually have a patient show up in the emergency department be waiting in line and unfortunately not have a bed ... they’re not going to get the care they need and we will see death rates climb.”

#COVID19 https://t.co/w7BYe3KF8o","[{'text': 'COVID19', 'indices': [257, 265]}]"
DinkyShop,"Good Stuff, Dinky Prices. Architecture, Urban Planning, Good Design, Politics; MacUser. Lic Architect by Day. https://t.co/jRAdRjbNY9 - https://t.co/BXIv9RJg0B",Here & Now,4995,2388,109276,2008-02-15 03:20:18,2020-11-13 16:11:01,244,"Pandemic completely out of control in Wisconsin. Contract tracing now impossible according to DHS. 

“COVID-19 is so bad in Wisconsin, DHS needed a whole new category” 

https://t.co/2eVx1OUwAN",[]
chawevamom7yah1,"I’m Here thx to sis..she’s a *RINO* Hate tRuMp and hate FB now. Also RN past 35 years and need PPE so, yea, there’s that too! NO DM’s #PutnoutFires🧯💦🔥","West Virginia, USA",1767,1184,15377,2020-03-19 21:36:51,2020-11-13 16:11:01,60,"Reasons to *ignore* the #MillionMoronMarch 

1) They are violent/seeking confrontation
2) They will be maskless and riddled with COVID-19
3) If you counter-protest, trump *will* have Bill Barfff teargas you or worse
4) Why subject yourself to such lies/stupidity?
5) Ignore them","[{'text': 'MillionMoronMarch', 'indices': [41, 59]}]"
Stew1221,Do you think Mozart knew he was going to be a great painter when he sat down to paint?,"Ponder, TX",66,30,588,2011-10-27 01:08:34,2020-11-13 16:11:01,74,"BREAKING: 130+ Secret Service agents are said to have #covid19 or in quarantine after exposures in @realdonaldtrump rallies &amp; @WhiteHouse.

This is not OK. These men &amp; women shouldn't have their lives at risk because standard precautions aren't followed.

https://t.co/Z3KAGOwy35","[{'text': 'covid19', 'indices': [70, 78]}]"
celebritykdawg5,,,208,116,17331,2011-07-14 19:06:32,2020-11-13 16:11:01,0,Insults #Military Voters #FoxNews #kristinoem #LindseyGraham #Trump #MarkMeadows #MattGaetz #Bencarson Covid-19 Infected #Davidperdue #Kellyloeffler #JoniErnst #KayleighMcEnany #MAGA GOP Herd Immunity #TheView #MitchMcConnell #MorningJoe Super-spreader Spikes #Ronnamcdaniel No😷 https://t.co/lPd6E7s2eJ,"[{'text': 'Military', 'indices': [29, 38]}, {'text': 'FoxNews', 'indices': [46, 54]}, {'text': 'kristinoem', 'indices': [55, 66]}, {'text': 'LindseyGraham', 'indices': [67, 81]}, {'text': 'Trump', 'indices': [82, 88]}, {'text': 'MarkMeadows', 'indices': [89, 101]}, {'text': 'MattGaetz', 'indices': [102, 112]}, {'text': 'Bencarson', 'indices': [113, 123]}]"
LockerRoomGh,"Online football jersey shop

Buy your favorite football jerseys at cheap price
call/WhatsApp +233 55 279 9633",GH,2005,2048,12202,2020-02-24 07:30:58,2020-11-13 16:11:01,55,Catfish holder dier Mohamed Salah tested positive for Covid 19 fa woho b3n 😒😒 mind your business,[]
ToniMedvetz,"Mom of 3 lovely girls and Grandmother of a wonderful young man and a granddaughter on the way.  A retired Hospice RN.  A PROUD, LIBERAL DEMOCRAT!  PROCHOICE!",USA. ,744,593,21737,2016-12-09 19:14:18,2020-11-13 16:11:01,18,"Hi 👋🏽 @GSAEmily. Begin the transition NOW. People are continuing to be infected/die by #COVID at insurmountable numbers.

The entire world (including China) has congratulated #PresidentElectBiden ... except Putin, Trump and the GOP.

History is watching.

#Election2020 https://t.co/fsN9WoJaDK","[{'text': 'COVID', 'indices': [105, 111]}]"
dorizinn,"Personal finance journalist with words in @CNET, @Forbes, @Bankrate, @CreditKarma and more. Lover of sports, naps, eyerolling, and LaSpada's. Ravenclaw.","Fort Lauderdale, FL",173,2020,72036,2009-02-16 21:46:01,2020-11-13 16:11:01,909,"Please, don't travel for the Holidays. We are at the very beginning of a gargantuan surge in #COVID19 in the U.S. https://t.co/RXzJOlEIPn","[{'text': 'COVID19', 'indices': [113, 121]}]"
MemsRaeRD,"Registered Licensed Dietitian @roswellpark Buffalo Bills Fan for LIFE, Like to lift heavy things 🏋🏾‍♀️#fattofit","Buffalo, NY",930,1033,4785,2013-09-18 21:00:08,2020-11-13 16:11:01,3,Shifts in food shopping behaviors due to COVID-19 https://t.co/xevdr7Y9mw via @SmartBrief,[]
berniireyyn,,United Kingdom,246,328,1880,2011-01-07 15:36:26,2020-11-13 16:11:01,1069,"The “90% efficacy rate” of the Pfizer vaccine is based off only 94 positive cases of COVID-19.

The final Pfizer analysis will be conducted after a grand total of 164 positive cases.

And then the plan is to vaccinate 500 million+ people in 2021.

Feels very very rushed to me.",[]
lorigeishecker,Common Sense Independent Conservative from the People's Republic of MA. #ownboss #ecommerce #onlinemarketing #socialmediastrategist #voiceovers #OceanGirl #TAM,Massachusetts,3768,2733,21359,2009-04-10 17:09:26,2020-11-13 16:11:00,0,A lot of it.  -&gt; Some of Biden's COVID-19 task force appointees have stirred controversy in the past | Just The News https://t.co/QSvEu9rDxL by @justthenews,[]
Medscape,"Medscape provides breaking medical news and expert perspectives, drug and disease information, and free CME across 30+ medical specialties.",New York,39906,209270,47708,2008-10-21 19:26:01,2020-11-13 16:11:00,6,New research into how the immune system functions in severe COVID-19 resulted in #autoantibodies becoming this week's Medscape Clinical Trend. https://t.co/cu1yGWIOs2 https://t.co/RqJhz6yEOC,"[{'text': 'autoantibodies', 'indices': [81, 96]}]"
SACSconsulting,"We offer a variety of #COVID19 Services, including rapid testing. We specialize in security, PI, training, and HR matters. We have been in businesses since 1989","Akron, Ohio",1114,461,2144,2009-08-13 15:31:05,2020-11-13 16:11:00,0,"In the midst of chaos, you need a plan. 
If you haven't written your business contingency plans yet, please read our latest blog post about the elements and importance of having them. @SHRM @LGASHRM @AkronSHRM   #ContingencyPlans #COVID19 #SACSConsulting 

https://t.co/VrJ6XXQ0s2","[{'text': 'ContingencyPlans', 'indices': [212, 229]}, {'text': 'COVID19', 'indices': [230, 238]}, {'text': 'SACSConsulting', 'indices': [239, 254]}]"
VincentPoupart4,Salut!,Montréal,81,9,151,2020-11-06 14:04:14,2020-11-13 16:11:00,0,"@TertiusIII @JustSayingWhat1 @odktiger @ChadCottle @Freewillburnya @imkimaaron @th1rt3en_TM @SlsStudios @jools6691 @SariellaHerself @Atlanticus74 @impeachqueen @IanBrown2002 @Melanie33720945 @Sicut_Lupus @Dr_S_A_Malcolm @BabeTruth2 @GuscottAndrew @andyguy @ThinkyTexan @Allison23829042 @Tsunami_64 @malo_j @JordanBassior @RosaRubicon @Tokyogreen @reddyrc @S4R41_K44R @DAccampoFamily @HazyPeter @AtheistWombat @Lextali46419807 @SmokeyStafford @TheGod_Particle @BabaT55311315 @againstsodomy @DiscoJerrys @mirandadied4u @FashJune @bearschoice2020 @AndrewRChapman @Ah_Science @TakeThatDarwin @KitemanArgues @FoxNews @realDonaldTrump @kayleighmcenany @IngrahamAngle @newtgingrich @JudgeJeanine Because decline in daily COVID-19 growth rate is still a growth. Now imagine without masks.

It's not that complicated, even for a talibangelical.",[]
reaktor_field,"Anime, IT/PC Hardware/Technology, Politics, part-time Canucks fan.

""Minimize, manage and modify."" -Dr. Henry","British Columbia, Canada",2405,366,18795,2017-09-26 04:28:37,2020-11-13 16:11:00,97,"Canada is leading the world in vaccination readiness
https://t.co/ai7PiHsKgc https://t.co/A5pl3uV5MP",[]
Theupdater_,"Just an individual volunteer, providing #COVID19 & OTHER updates across India within a minute just after concerned governments release the data.",Turn on post Notifications🔔,10,5278,13414,2020-05-30 08:40:55,2020-11-13 16:11:00,0,"#Uttarpradesh #COVID19 BULLETIN |13.11.2020

🔹In the last 24 hours, 2,183 new positive cases reported.

📌NEW RECOVERIES 2,005

📌Total Recovered 477,180

📌Active cases:23,095

📌New Deaths: 25

📌Total Deaths:7,327
JOIN👉https://t.co/vUGjjkp3rd
#COVID19India #IndiaFightsCorona https://t.co/tksonzgUUc","[{'text': 'Uttarpradesh', 'indices': [0, 13]}, {'text': 'COVID19', 'indices': [14, 22]}, {'text': 'COVID19India', 'indices': [241, 254]}, {'text': 'IndiaFightsCorona', 'indices': [255, 273]}]"
marekbros,"The Marek Family of Companies is the leader in innovation, quality and excellence in the interior constructon business.","Houston, TX",519,704,1369,2013-04-23 13:44:11,2020-11-13 16:11:00,0,"There's a rise in COVID-19 cases, it's so important that you wear your mask and wear it properly when you're out in public.
 
#Wearamask #COVID19 #safety https://t.co/cPBSi4u83D","[{'text': 'Wearamask', 'indices': [126, 136]}, {'text': 'COVID19', 'indices': [137, 145]}, {'text': 'safety', 'indices': [146, 153]}]"
dominicgabello,"Senior Advisor for Governor Michelle Lujan Grisham, rescue dog dad to Patches...tweets are my own","Albuquerque, NM",1398,1949,13766,2009-02-20 14:51:10,2020-11-13 16:11:00,17,"I'll be joined by state officials today to give a COVID-19 update for New Mexico.

You can tune in at https://t.co/6Xq03mOSkC at 1PM.

Stay safe. Stay home. Slow the spread. https://t.co/tenish9HwU",[]
normie_macdonal,sensitive pimp,,387,715,107852,2009-08-12 21:29:01,2020-11-13 16:11:00,13,"So many national teams hit by positive Covid-19 tests during this break, including: France, Norway, Sweden, Croatia, Egypt, Republic of Ireland, Denmark, Belgium, Hungary, Serbia, Netherlands, Brazil.",[]
EvitaOchel,"Teacher, Entrepreneur, and Author. Look within to remember who you are. #consciousness #awareness #holistichealth #vegan #plantbased #healthfreedom #bethechange","Ontario, Canada",27,2500,13581,2009-03-28 19:21:19,2020-11-13 16:11:00,0,"More docs are speaking up &gt; How deadly is #covid19 &gt;  ""Public policy in most countries has been driven by doomsday scenarios based on completely unrealistic numbers."" ~ @sebrushworth https://t.co/CpOnEZHiDr #Awareness #EducateYourself","[{'text': 'covid19', 'indices': [45, 53]}, {'text': 'Awareness', 'indices': [213, 223]}, {'text': 'EducateYourself', 'indices': [224, 240]}]"
EasternWorkIB,"Eastern Workforce Innovation Board  | Nurturing a stronger workforce.
We seek to develop a skilled, effective, & adaptable workforce across the region.",Eastern Ontario,1104,373,2352,2010-12-16 15:59:36,2020-11-13 16:11:00,0,"Small businesses particularly in the tourism, hospitality and retail sector have been hit the hardest and it is expected that there will be numerous closures in these sectors. #impactofcovid #SmallBusiness #covid19 https://t.co/YbKSX0MbKm https://t.co/71hHab2job","[{'text': 'impactofcovid', 'indices': [176, 190]}, {'text': 'SmallBusiness', 'indices': [191, 205]}, {'text': 'covid19', 'indices': [206, 214]}]"
Springfdtx,"For an Emergency, call 9-1-1. Combination Fire Department in North Harris County (Houston) Texas serving 152,000 people throughout 62 square miles - ISO Class 2","Spring, TX",336,1451,2935,2015-05-23 10:00:11,2020-11-13 16:11:00,0,"#COVID19 is making the happiest time of the year harder for too many area families, but you can help. @SpringFDTX is again partnering with @abc13houston for #ShareYourHolidays. 
Drop off non-perishable food items at any #Springtx fire station. https://t.co/Gls8xG5Md4","[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'ShareYourHolidays', 'indices': [157, 175]}, {'text': 'Springtx', 'indices': [220, 229]}]"
Oli1Tita,,,452,204,109040,2015-11-28 23:16:15,2020-11-13 16:11:00,5145,"Rand Paul is telling people that if they already had COVID-19, they are immune. THAT IS A LIE.

He should have his medical license revoked, and he should be censured by the Senate. And call his neighbor.",[]
faaaal,LW  | I have the power of nature inside 🐬🌲🛸🕴⚡x💉,europe,418,928,56836,2009-05-06 21:03:39,2020-11-13 16:11:00,0,"“Rods of peace” - @faaaal “https://t.co/jG8cRzYyrg”

#freedom #truth #Light #Love #COVID19 #PremierLeague #Tesla #Tiktok #Trump
#Christ #consciousness #Cabal #5G https://t.co/ncSelWDLzu","[{'text': 'freedom', 'indices': [53, 61]}, {'text': 'truth', 'indices': [62, 68]}, {'text': 'Light', 'indices': [69, 75]}, {'text': 'Love', 'indices': [76, 81]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'PremierLeague', 'indices': [91, 105]}, {'text': 'Tesla', 'indices': [106, 112]}, {'text': 'Tiktok', 'indices': [113, 120]}, {'text': 'Trump', 'indices': [121, 127]}, {'text': 'Christ', 'indices': [128, 135]}, {'text': 'consciousness', 'indices': [136, 150]}, {'text': 'Cabal', 'indices': [151, 157]}, {'text': '5G', 'indices': [158, 161]}]"
CareyChristhine,Mommy!/NaNa!,,456,202,29030,2020-08-11 02:05:55,2020-11-13 16:11:00,103,"“If seat belts are mandated and about 100 people die per day from motor vehicle casualties, we have 10 to 15 times that casualty from Covid-19,” Dr. Lipi Roy says. “We know how to prevent it… Just wear a mask.” https://t.co/URyBSPsthw",[]
BigE1_2_3,,,79,49,18437,2018-01-10 20:43:40,2020-11-13 16:11:00,1725,"Covid-19?   

It is not nearly as frightening as Biden/Harris-20.",[]
jonssonsg,Be kind to Elefants!,,1110,1005,123004,2010-11-17 12:31:38,2020-11-13 16:11:00,37,"Sweden reports record 5,990 new COVID-19 cases as second wave strikes https://t.co/0eiWGLyw2E https://t.co/ij960ywrih",[]
EmilyKParadis,"Housing & homelessness advocate & researcher, U of T Urban Studies instructor, Maytree fellow, views are my own. She/her they/them",,339,637,516,2012-04-28 16:46:55,2020-11-13 16:10:59,84,"We know that #COVID19 doesn't impact us all equally.

When governments don't implement the measures needed to stop this pandemic, they are choosing to fail to protect racialized communities, frail seniors &amp; those experiencing homelessness/poverty.","[{'text': 'COVID19', 'indices': [26, 34]}]"
TxYankee33,#Democrat,United States,10854,13286,33016,2016-08-20 01:23:06,2020-11-13 16:10:59,2110,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
ramblinrosie57,Screw tRump and the GOP!  I do not respond to DM. #nastywomenvote #resist #resistance FBR,"Illinois, USA",5084,5051,20786,2014-03-07 23:13:13,2020-11-13 16:10:59,2110,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
NileFM,"Egypt's #1 Hit Music Station! Bringing you the world's biggest artists and songs, the hottest DJs, and all the entertainment news since 2003! #NileFM","Cairo, Egypt",1041,2866169,76640,2009-04-20 13:34:31,2020-11-13 16:10:59,0,"Wishing you a speedy recovery @MoSalah 
https://t.co/PsPeZ3yHRw",[]
